0010_internal_balance_inquiry_invalid_account, Balance Inquiry, FAIL
0011_external_balance_inquiry, Balance Inquiry, PASS
0012_external_balance_inquiry_invalid_account, Balance Inquiry, FAIL
0013_internal_account_closure, Account Closure, PASS
0014_internal_account_closure_with_funds, Account Closure, FAIL
0015_external_account_closure, Account Closure, PASS
0016_internal_account_freeze, Account Freeze, PASS
0017_internal_account_freeze_with_pending_transactions, Account Freeze, FAIL
0018_external_account_freeze, Account Freeze, PASS
0019_internal_password_change, Password Change, PASS
0020_internal_password_change_invalid_current_password, Password Change, FAIL
